timestamp,raw_score,coverage,p4h,p8h,actual4h,actual8h
2026-05-18T17:00:00+00:00,-0.377035,1.0,0.527757,0.606371,BULLISH,BULLISH
2026-05-19T17:00:00+00:00,0.225337,1.0,0.550631,0.604196,BEARISH,BEARISH
2026-05-20T17:00:00+00:00,-0.076948,1.0,0.539173,0.605288,BULLISH,BEARISH
2026-05-21T17:00:00+00:00,0.187155,1.0,0.549187,0.604334,BULLISH,BULLISH
2026-05-22T17:00:00+00:00,-0.087728,1.0,0.538763,0.605327,BEARISH,
2026-05-25T17:00:00+00:00,0.015781,0.7222,0.542693,0.604953,,BEARISH
2026-05-26T17:00:00+00:00,0.126306,1.0,0.546883,0.604554,BULLISH,BULLISH
2026-05-27T17:00:00+00:00,0.3493,1.0,0.555316,0.603748,BULLISH,BULLISH
2026-05-28T17:00:00+00:00,0.281114,1.0,0.55274,0.603994,NEUTRAL,BEARISH
2026-05-29T17:00:00+00:00,0.202446,1.0,0.549765,0.604279,NEUTRAL,
2026-06-01T17:00:00+00:00,0.135259,1.0,0.547222,0.604521,BEARISH,BEARISH
2026-06-02T17:00:00+00:00,-0.023655,1.0,0.541196,0.605096,BULLISH,BULLISH
2026-06-03T17:00:00+00:00,-0.303675,1.0,0.530551,0.606107,BEARISH,BEARISH
2026-06-04T17:00:00+00:00,0.053402,1.0,0.54412,0.604817,BEARISH,BEARISH
2026-06-05T17:00:00+00:00,-0.577752,1.0,0.520104,0.607095,BEARISH,
2026-06-08T17:00:00+00:00,-0.053039,1.0,0.540081,0.605202,BEARISH,BEARISH
2026-06-09T17:00:00+00:00,-0.645314,1.0,0.517525,0.607339,BULLISH,BULLISH
2026-06-10T17:00:00+00:00,-0.334374,1.0,0.529382,0.606217,BEARISH,BEARISH
2026-06-11T17:00:00+00:00,0.213866,1.0,0.550198,0.604237,BULLISH,BULLISH
2026-06-12T17:00:00+00:00,0.082527,1.0,0.545224,0.604712,NEUTRAL,
2026-06-15T17:00:00+00:00,0.34461,1.0,0.555139,0.603765,BEARISH,BEARISH
2026-06-16T17:00:00+00:00,0.013725,1.0,0.542615,0.604961,BEARISH,BEARISH
2026-06-17T17:00:00+00:00,0.209909,1.0,0.550048,0.604252,BEARISH,BEARISH
2026-06-18T17:00:00+00:00,0.292994,1.0,0.553189,0.603951,BULLISH,BEARISH
2026-06-19T17:00:00+00:00,0.175278,0.7222,0.548737,0.604377,,
2026-06-22T17:00:00+00:00,0.119144,1.0,0.546611,0.60458,BULLISH,NEUTRAL
2026-06-23T17:00:00+00:00,0.105606,1.0,0.546099,0.604629,BEARISH,BEARISH
2026-06-24T17:00:00+00:00,-0.107885,1.0,0.537998,0.6054,BULLISH,BULLISH
2026-06-25T17:00:00+00:00,0.221301,1.0,0.550479,0.60421,BULLISH,BEARISH
2026-06-26T17:00:00+00:00,0.068282,1.0,0.544684,0.604763,BEARISH,
2026-06-29T17:00:00+00:00,0.317162,1.0,0.554102,0.603864,BULLISH,BULLISH
2026-06-30T17:00:00+00:00,0.374774,1.0,0.556277,0.603655,BEARISH,NEUTRAL
2026-07-01T17:00:00+00:00,-0.41521,1.0,0.526302,0.606509,BEARISH,BEARISH
2026-07-02T17:00:00+00:00,-0.486066,1.0,0.523601,0.606765,BULLISH,BULLISH
2026-07-03T17:00:00+00:00,-0.10452,0.7222,0.538125,0.605388,,
2026-07-06T17:00:00+00:00,0.158211,1.0,0.548091,0.604438,BEARISH,BEARISH
2026-07-07T17:00:00+00:00,0.399886,1.0,0.557224,0.603565,BEARISH,NEUTRAL
2026-07-08T17:00:00+00:00,0.317358,1.0,0.55411,0.603863,BULLISH,BULLISH
2026-07-09T17:00:00+00:00,0.197177,1.0,0.549566,0.604298,BULLISH,BEARISH
2026-07-10T17:00:00+00:00,0.240838,1.0,0.551218,0.60414,BULLISH,
2026-07-13T17:00:00+00:00,-0.484131,1.0,0.523675,0.606758,BEARISH,NEUTRAL
2026-07-14T17:00:00+00:00,-0.125937,1.0,0.537312,0.605465,BEARISH,BULLISH
2026-07-15T17:00:00+00:00,-0.159616,1.0,0.536031,0.605587,BULLISH,BULLISH
2026-07-16T17:00:00+00:00,-0.332632,1.0,0.529448,0.606211,BEARISH,BEARISH
2026-07-17T17:00:00+00:00,0.008883,1.0,0.542431,0.604978,BEARISH,
2026-07-20T17:00:00+00:00,0.251317,1.0,0.551614,0.604102,BEARISH,BEARISH
2026-07-21T17:00:00+00:00,0.163573,1.0,0.548294,0.604419,BEARISH,BEARISH
2026-07-22T17:00:00+00:00,0.006164,1.0,0.542328,0.604988,BEARISH,BEARISH
2026-07-23T17:00:00+00:00,0.132779,1.0,0.547128,0.60453,BULLISH,BULLISH
2026-07-24T17:00:00+00:00,-0.058961,1.0,0.539856,0.605223,BEARISH,
2026-07-27T17:00:00+00:00,0.014142,1.0,0.542631,0.604959,BULLISH,BULLISH
2026-07-28T17:00:00+00:00,0.125951,1.0,0.546869,0.604555,BEARISH,BEARISH
2026-07-29T17:00:00+00:00,0.057148,1.0,0.544262,0.604804,BEARISH,BEARISH
2026-07-30T17:00:00+00:00,0.492754,1.0,0.560724,0.603229,BULLISH,BULLISH
2026-07-31T17:00:00+00:00,0.480758,1.0,0.560272,0.603272,BEARISH,
2026-08-03T17:00:00+00:00,0.197189,1.0,0.549567,0.604298,BULLISH,BULLISH
2026-08-04T17:00:00+00:00,0.390258,1.0,0.556861,0.603599,BULLISH,BULLISH
2026-08-05T17:00:00+00:00,0.249065,1.0,0.551529,0.60411,BEARISH,BEARISH
2026-08-06T17:00:00+00:00,-0.11214,1.0,0.537836,0.605415,BEARISH,NEUTRAL
2026-08-07T17:00:00+00:00,-0.345847,1.0,0.528945,0.606259,BULLISH,
2026-08-10T17:00:00+00:00,-0.002544,1.0,0.541998,0.605019,BEARISH,NEUTRAL
2026-08-11T17:00:00+00:00,-0.340422,1.0,0.529151,0.606239,BULLISH,BULLISH
2026-08-12T17:00:00+00:00,0.25781,1.0,0.551859,0.604078,BEARISH,BEARISH
2026-08-13T17:00:00+00:00,0.245117,1.0,0.551379,0.604124,BULLISH,BEARISH
2026-08-14T17:00:00+00:00,0.158347,1.0,0.548096,0.604438,BULLISH,
2026-08-17T17:00:00+00:00,-0.216477,1.0,0.533869,0.605792,BEARISH,BEARISH
2026-08-18T17:00:00+00:00,-0.128675,1.0,0.537208,0.605475,BEARISH,BEARISH
2026-08-19T17:00:00+00:00,0.138325,1.0,0.547338,0.60451,NEUTRAL,BULLISH
2026-08-20T17:00:00+00:00,0.176301,1.0,0.548776,0.604373,BEARISH,BEARISH
2026-08-21T17:00:00+00:00,0.113896,1.0,0.546413,0.604599,BEARISH,
2026-08-24T17:00:00+00:00,-0.047069,1.0,0.540308,0.60518,BEARISH,BEARISH
2026-08-25T17:00:00+00:00,0.278538,1.0,0.552643,0.604003,NEUTRAL,BEARISH
2026-08-26T17:00:00+00:00,-0.067744,1.0,0.539522,0.605255,BULLISH,BULLISH
2026-08-27T17:00:00+00:00,0.230738,1.0,0.550836,0.604176,BEARISH,NEUTRAL
2026-08-28T17:00:00+00:00,-0.403152,1.0,0.526761,0.606466,NEUTRAL,
2026-08-31T17:00:00+00:00,-0.048003,1.0,0.540272,0.605184,BULLISH,
